locationNumber,companyName,street,city,state,stateName,zip,zip4,NAICS,SIC,salesVolume,headBranch,employeeNumber,sqftCode,SCORE,LON,LAT,waitTime,sequence,timestamp
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,5,1,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,6,1,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,7,1,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,4,1,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,11,1,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,5,1,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,3,1,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,4,1,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,6,1,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,3,1,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,10,1,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,8,1,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,15,1,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,12,1,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,7,2,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,8,2,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,6,2,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,4,2,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,12,2,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,4,2,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,3,2,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,6,2,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,8,2,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,4,2,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,12,2,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,7,2,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,14,2,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,13,2,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,9,3,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,4,3,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,5,3,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,4,3,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,9,3,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,6,3,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,4,3,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,8,3,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,7,3,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,3,3,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,13,3,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,7,3,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,13,3,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,16,3,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,11,4,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,6,4,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,4,4,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,4,4,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,13,4,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,7,4,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,3,4,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,7,4,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,6,4,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,3,4,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,12,4,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,6,4,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,11,4,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,14,4,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,13,5,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,4,5,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,5,5,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,2,5,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,15,5,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,6,5,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,2,5,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,5,5,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,6,5,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,5,5,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,14,5,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,5,5,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,9,5,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,14,5,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,15,6,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,8,6,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,5,6,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,6,6,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,14,6,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,5,6,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,4,6,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,4,6,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,5,6,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,5,6,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,15,6,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,5,6,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,8,6,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,11,6,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,17,7,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,10,7,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,5,7,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,5,7,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,12,7,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,4,7,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,3,7,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,6,7,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,5,7,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,4,7,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,16,7,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,4,7,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,7,7,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,10,7,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,15,8,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,8,8,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,3,8,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,5,8,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,10,8,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,4,8,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,5,8,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,8,8,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,5,8,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,4,8,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,15,8,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,5,8,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,7,8,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,9,8,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,13,9,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,4,9,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,4,9,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,5,9,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,11,9,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,3,9,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,4,9,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,7,9,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,5,9,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,3,9,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,13,9,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,6,9,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,8,9,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,9,9,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,11,10,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,6,10,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,3,10,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,4,10,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,9,10,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,3,10,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,4,10,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,6,10,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,4,10,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,3,10,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,12,10,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,6,10,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,11,10,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,9,10,
